YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,TOTAL_QUANTITY,NIC
202101,010701000,Other soothing haemorrhoidal preparations,65.0,2325.0,201.81
202101,0107010AA,Diltiazem hydrochloride,2244.0,74305.0,38887.67
202101,0107010I0,Hamamelis,57.0,3175.0,224.59
202101,0107010N0,Lidocaine hydrochloride,1001.0,39735.0,4431.610000000001
202101,0107010S0,Sucralfate,35.0,1070.0,10608.45
202101,0107010Z0,Zinc oxide,13196.0,373202.0,41391.62
202101,0107020F0,Fluocortolone,117.0,3111.0,904.05
202101,0107020J0,Hydrocortisone,50786.0,1327034.0,297219.24
202101,0107020P0,Prednisolone,36804.0,913402.0,102256.19
202101,0107030P0,Phenol,4.0,4.0,34.12
202101,0107040A0,Glyceryl trinitrate,6786.0,209300.0,273148.82
202101,0108010S0,"Skin protectives,fillers and cleansers",7.0,722.0,39.8
202101,0109010G0,Chenodeoxycholic acid,1.0,56.0,7840.0
202101,0109010R0,Other preparations for biliary disorders,2.0,290.0,42.63
202101,0109010U0,Ursodeoxycholic acid,28013.0,3073436.0,932064.86
202101,0109040N0,Pancreatin,51234.0,14181064.0,3367065.49
202101,0201010F0,Digoxin,220518.0,5757730.0,338030.59
202101,0202010B0,Bendroflumethiazide,636046.0,22637362.0,685949.59
202101,0202010D0,Chlorothiazide,226.0,31918.0,11049.97
202101,0202010F0,Chlortalidone,1056.0,29811.0,87515.86
202101,0202010L0,Hydrochlorothiazide,110.0,5234.0,10693.66
202101,0202010P0,Indapamide,410119.0,14307903.0,1622732.17
202101,0202010V0,Metolazone,1490.0,17590.0,83075.98999999999
202101,0202010Y0,Xipamide,239.0,8789.0,1221.2
202101,0202020D0,Bumetanide,146612.0,6582098.0,487541.78
202101,0202020L0,Furosemide,905912.0,29197379.0,1061047.94
202101,0202020U0,Torasemide,1286.0,46017.0,10543.37
202101,0202030C0,Amiloride hydrochloride,11978.0,469510.0,592065.97
202101,0202030S0,Spironolactone,233801.0,6224814.0,480994.52
202101,0202030W0,Triamterene,2.0,56.0,78.22
202101,0202030X0,Eplerenone,77502.0,2104851.0,639661.59
202101,0202040B0,Co-amilofruse (Amiloride hydrochloride/frusemide),21320.0,791414.0,192896.21
202101,0202040C0,Co-amilozide (Amiloride hydrochloride/hydrochlorothiazide),6816.0,256082.0,46676.81
202101,0202040D0,Amiloride hydrochloride with loop diuretics,391.0,15223.0,30446.0
202101,0202040G0,Co-flumactone (Hydroflumethiazide/spironolactone),44.0,2250.0,659.54
202101,0202040H0,Co-triamterzide(Triamterene/hydrochlorothiazide),1.0,28.0,0.89
202101,0202040T0,Spironolactone with loop diuretics,274.0,8269.0,2353.61
202101,0202040U0,Triamterene with loop diuretics,252.0,9677.0,750.0
202101,0202040V0,Triamterene with thiazides,40.0,1624.0,6786.0
202101,0203020D0,Amiodarone hydrochloride,35991.0,1025435.0,89503.39
202101,0203020F0,Disopyramide,892.0,87762.0,26620.04
202101,0203020G0,Disopyramide phosphate,464.0,28618.0,15300.9
202101,0203020I0,Flecainide acetate,35375.0,2620656.0,178323.91
202101,0203020P0,Mexiletine hydrochloride,150.0,21842.0,117631.18
202101,0203020R0,Propafenone hydrochloride,1437.0,122247.0,11604.71
202101,0203020U0,Quinidine sulfate,3.0,420.0,601.5
202101,0203020X0,Dronedarone hydrochloride,1710.0,107178.0,120575.33000000002
202101,020400030,Timolol with diuretic,18.0,770.0,1619.03
202101,020400040,Co-tenidone (Atenolol/chlortalidone),10382.0,390829.0,33492.57
202101,020400060,Celiprolol hydrochloride,2330.0,94796.0,35896.2
202101,020400080,Carvedilol,48805.0,2446646.0,138487.53
202101,0204000AB,Nebivolol,47697.0,1562330.0,214796.61
202101,0204000C0,Acebutolol hydrochloride,620.0,35422.0,12528.63
202101,0204000E0,Atenolol,465324.0,16654391.0,503451.03
202101,0204000H0,Bisoprolol fumarate,2126957.0,67055457.0,2439835.41
202101,0204000I0,Labetalol hydrochloride,9528.0,729206.0,99148.47
202101,0204000K0,Metoprolol tartrate,27279.0,1307237.0,132409.93
202101,0204000M0,Nadolol,1263.0,53802.0,17853.82
202101,0204000P0,Pindolol,3.0,280.0,22.54
202101,0204000R0,Propranolol hydrochloride,517660.0,31053212.0,2380344.33
202101,0204000T0,Sotalol hydrochloride,36303.0,2364731.0,128841.86
202101,0204000U0,Atenolol with calcium channel blocker,855.0,41090.0,22452.9
202101,0204000V0,Timolol,1277.0,55397.0,73659.58
202101,0205010AA,Macitentan,1.0,28.0,2152.27
202101,0205010J0,Hydralazine hydrochloride,15087.0,851544.0,102073.15
202101,0205010N0,Minoxidil,1691.0,87072.0,28078.96
202101,0205010U0,Bosentan,5.0,252.0,3445.4300000000003
202101,0205010X0,Ambrisentan,2.0,86.0,4638.5
202101,0205010Y0,Sildenafil(Vasodilator Antihypertensive),271.0,28751.0,75809.2
202101,0205010Z0,Tadalafil (Vasodilator Antihypertensive),1.0,8.0,70.17
202101,0205020E0,Clonidine hydrochloride,6932.0,416219.0,63420.48
202101,0205020G0,Guanfacine hydrochloride,5.0,246.0,526.2
202101,0205020H0,Methyldopa,5331.0,406025.0,202631.6
202101,0205020M0,Moxonidine,28214.0,1199235.0,364830.35
202101,0205040D0,Doxazosin mesilate,547486.0,25739869.0,1369928.3
202101,0205040I0,Indoramin,1.0,28.0,20.09
202101,0205040M0,Phenoxybenzamine hydrochloride,89.0,9625.0,41454.87
202101,0205040S0,Prazosin hydrochloride,2186.0,199879.0,12771.58
202101,0205040V0,Terazosin hydrochloride,2955.0,113698.0,21955.19
202101,0205051AB,Perindopril tosilate/indapamide,2.0,60.0,19.7
202101,0205051AC,Perindopril with calcium channel blocker,54.0,1985.0,331.53
202101,0205051F0,Captopril,4758.0,400981.0,140374.39
202101,0205051H0,Enalapril maleate with diuretic,973.0,38101.0,25925.950000000004
202101,0205051I0,Enalapril maleate,115308.0,5041159.0,1267527.87
202101,0205051J0,Fosinopril sodium,284.0,16898.0,3080.19
202101,0205051K0,Lisinopril with diuretic,7649.0,301353.0,30055.82
202101,0205051L0,Lisinopril,674506.0,24947215.0,1027416.16
202101,0205051M0,Perindopril erbumine,336265.0,11864405.0,1272719.73
202101,0205051P0,Quinapril hydrochloride with diuretic,18.0,730.0,306.34000000000003
202101,0205051Q0,Quinapril hydrochloride,513.0,22444.0,7995.0
202101,0205051R0,Ramipril,2452386.0,85462162.0,3739399.9
202101,0205051S0,Ramipril with calcium channel blocker,493.0,22673.0,13930.68
202101,0205051U0,Trandolapril,5035.0,208473.0,59885.07
202101,0205051W0,Imidapril hydrochloride,484.0,16331.0,4337.91
202101,0205051Y0,Perindopril arginine,2443.0,95160.0,25524.19
202101,0205051Z0,Perindopril arginine with diuretic,2988.0,132360.0,41958.12
202101,0205052A0,Irbesartan with diuretic,5421.0,208343.0,95141.7
202101,0205052AB,Olmesartan medoxomil/amlodipine,1477.0,55521.0,33610.2
202101,0205052AC,Olmesartan medoxomil/amlodipine/hydrochlorothiazide,921.0,28936.0,17517.19
202101,0205052AD,Azilsartan medoxomil,67.0,2835.0,1761.65
202101,0205052AE,Sacubitril/valsartan,34591.0,1877335.0,3069444.18
202101,0205052B0,Olmesartan medoxomil,33644.0,1124110.0,257337.88
202101,0205052C0,Candesartan cilexetil,590009.0,20930012.0,1765821.53
202101,0205052I0,Irbesartan,140548.0,5043693.0,962102.25
