YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,PREP_CLASS,PRESCRIBED_PREP_CLASS,ITEMS,NIC
202602,0803041B0,Anastrozole,03,03,263.0,21824.12
202602,0803041B0,Anastrozole,05,05,93.0,1344.84
202602,0803041C0,Exemestane,01,01,14147.0,111900.63
202602,0803041C0,Exemestane,03,03,228.0,27409.6
202602,0803041C0,Exemestane,05,05,61.0,3100.58
202602,0803041L0,Letrozole,01,01,99578.0,312167.75
202602,0803041L0,Letrozole,03,03,449.0,49945.34
202602,0803041L0,Letrozole,05,05,259.0,5784.99
202602,0803041S0,Tamoxifen citrate,01,01,36893.0,110852.69
202602,0803041S0,Tamoxifen citrate,05,05,141.0,4136.41
202602,0803041U0,Toremifene citrate,03,02,7.0,461.4
202602,0803042A0,Bicalutamide,01,01,12263.0,18550.23
202602,0803042A0,Bicalutamide,03,03,17.0,3268.48
202602,0803042A0,Bicalutamide,05,05,12.0,39.51
202602,0803042E0,Cyproterone acetate,01,01,1913.0,114829.12
202602,0803042E0,Cyproterone acetate,03,03,9.0,193.17
202602,0803042E0,Cyproterone acetate,05,05,1.0,97.9
202602,0803042H0,Flutamide,01,01,11.0,1001.29
202602,0803042K0,Goserelin acetate,01,01,2419.0,177870.0
202602,0803042K0,Goserelin acetate,03,02,2870.0,677975.0
202602,0803042K0,Goserelin acetate,03,03,13681.0,2151175.0
202602,0803042N0,Leuprorelin acetate,03,02,4896.0,943870.04
202602,0803042N0,Leuprorelin acetate,03,03,15045.0,2970333.4
202602,0803042P0,Triptorelin acetate,03,02,68.0,5006.07
202602,0803042P0,Triptorelin acetate,03,03,1470.0,102798.9
202602,0803042R0,Degarelix,01,01,2285.0,186028.62
202602,0803042R0,Degarelix,03,03,11.0,978.16
202602,0803042R0,Degarelix,05,05,4.0,415.8
202602,0803042S0,Triptorelin embonate,03,02,231.0,95634.0
202602,0803042S0,Triptorelin embonate,03,03,1970.0,816822.0
202602,0803042T0,Abiraterone,05,01,2.0,4102.5
202602,0803042U0,Enzalutamide,03,02,1.0,2734.67
202602,0803042V0,Apalutamide,03,02,1.0,2735.0
202602,0803042W0,Triptorelin,03,02,649.0,135171.0
202602,0803042W0,Triptorelin,03,03,6083.0,1262202.0
202602,0803042X0,Relugolix,01,01,5955.0,617222.1
202602,0803042X0,Relugolix,03,03,185.0,18626.85
202602,0803042X0,Relugolix,05,05,30.0,2556.46
202602,0803043N0,Octreotide acetate,01,01,153.0,62595.37
202602,0803043N0,Octreotide acetate,03,02,19.0,17475.15
202602,0803043N0,Octreotide acetate,03,03,70.0,74367.27
202602,0803043P0,Lanreotide,01,01,173.0,150079.0
202602,0803043P0,Lanreotide,03,03,6.0,5421.0
202602,0803043P0,Lanreotide,05,05,3.0,10307.0
202602,090101100,Other oral iron preparations,03,02,2.0,30.96
202602,090101100,Other oral iron preparations,03,03,1380.0,18138.53
202602,0901011F0,Ferrous fumarate,01,01,389644.0,554635.74
202602,0901011F0,Ferrous fumarate,03,02,41253.0,159907.46
202602,0901011F0,Ferrous fumarate,03,03,1783.0,4238.99
202602,0901011F0,Ferrous fumarate,05,05,186.0,375.09
202602,0901011H0,Ferrous gluconate,01,01,22008.0,129115.27
202602,0901011H0,Ferrous gluconate,03,01,4.0,7.630000000000001
202602,0901011H0,Ferrous gluconate,03,03,3.0,3.2700000000000005
202602,0901011H0,Ferrous gluconate,05,05,52.0,483.71
202602,0901011P0,Ferrous sulfate,01,01,312413.0,383057.52
202602,0901011P0,Ferrous sulfate,03,02,4046.0,76474.0
202602,0901011P0,Ferrous sulfate,03,03,819.0,14015.68
202602,0901011P0,Ferrous sulfate,05,05,92.0,2214.81
202602,0901011Q0,Iron and folic acid,03,02,287.0,767.23
202602,0901011Q0,Iron and folic acid,03,03,119.0,400.63
202602,0901011W0,Sodium feredetate,01,01,13642.0,185374.96
202602,0901011W0,Sodium feredetate,03,01,8.0,60.44
202602,0901011W0,Sodium feredetate,03,03,1629.0,21479.22
202602,0901011Y0,Ferric maltol,03,02,2579.0,125776.2
202602,0901011Y0,Ferric maltol,03,03,839.0,43586.3
202602,0901012K0,Iron dextran,03,02,14.0,422.41
202602,0901012K0,Iron dextran,03,03,16.0,294.89
202602,0901012P0,Iron carboxymaltose,03,03,1.0,191.0
202602,0901020D0,Cyanocobalamin,01,01,113116.0,204594.31
202602,0901020D0,Cyanocobalamin,03,01,8.0,33.71
202602,0901020D0,Cyanocobalamin,03,02,70510.0,437692.4
202602,0901020D0,Cyanocobalamin,03,03,34616.0,163876.79
202602,0901020D0,Cyanocobalamin,05,01,1.0,1.61
202602,0901020D0,Cyanocobalamin,05,05,816.0,88790.06
202602,0901020G0,Folic acid,01,01,666773.0,618642.73
202602,0901020G0,Folic acid,03,01,15.0,152.63
202602,0901020G0,Folic acid,03,03,106.0,1591.84
202602,0901020G0,Folic acid,05,01,2.0,110.76
202602,0901020G0,Folic acid,05,05,189.0,1337.48
202602,0901020N0,Hydroxocobalamin,01,01,267518.0,736881.6
202602,0901020N0,Hydroxocobalamin,03,01,104.0,282.48
202602,0901020N0,Hydroxocobalamin,03,03,27.0,67.5
202602,0901020N0,Hydroxocobalamin,05,05,2047.0,6685.82
202602,0901030D0,Epoetin alfa,03,02,4.0,2190.21
202602,0901030D0,Epoetin alfa,03,03,32.0,15619.29
202602,0901030E0,Epoetin beta,03,02,17.0,6175.99
202602,0901030E0,Epoetin beta,03,03,32.0,10044.14
202602,0901030I0,Deferiprone,03,01,2.0,1440.4
202602,0901030I0,Deferiprone,03,02,3.0,1305.2
202602,0901030I0,Deferiprone,03,03,1.0,9.1
202602,0901030J0,Darbepoetin alfa,03,02,163.0,39785.27
202602,0901030J0,Darbepoetin alfa,03,03,248.0,102444.72
202602,0901030K0,Deferasirox,01,01,6.0,2478.0
202602,0901030N0,Methoxy polyethylene glycol-epoetin beta,03,02,1.0,73.41
202602,0901030Q0,Epoetin zeta,03,02,10.0,4212.07
202602,0901030Q0,Epoetin zeta,03,03,2.0,144.25
202602,0901030R0,Hydroxycarbamide,03,02,42.0,15446.67
202602,0901030R0,Hydroxycarbamide,03,03,1.0,500.0
202602,0901030U0,Roxadustat,03,02,18.0,3206.51
202602,0901030V0,Vadadustat,03,02,1.0,297.19
202602,0901040A0,Anagrelide hydrochloride,01,01,42.0,16644.03
202602,0901040C0,Eltrombopag,01,01,4.0,8470.0
202602,0901060I0,Filgrastim,03,02,8.0,4419.76
202602,0901060Q0,Lipegfilgrastim,03,03,1.0,652.06
202602,0902011AA,Patiromer calcium,03,02,262.0,48550.0
202602,0902011AA,Patiromer calcium,03,03,11.0,2587.5
202602,0902011AB,Sodium zirconium cyclosilicate,03,02,1169.0,236834.0
202602,0902011AB,Sodium zirconium cyclosilicate,03,03,1596.0,341556.8
202602,0902011L0,Calcium polystyrene sulfonate,01,01,2.0,246.48
202602,0902011L0,Calcium polystyrene sulfonate,03,03,38.0,4733.78
202602,0902011L0,Calcium polystyrene sulfonate,05,05,1.0,82.16
202602,0902011P0,Sodium polystyrene sulfonate,03,02,2.0,511.31000000000006
202602,0902011P0,Sodium polystyrene sulfonate,03,03,11.0,3082.18
202602,0902011U0,Potassium chloride,03,01,10.0,267.15000000000003
202602,0902011U0,Potassium chloride,03,02,1914.0,80778.45999999999
202602,0902011U0,Potassium chloride,03,03,6921.0,129242.16
202602,0902011U0,Potassium chloride,05,01,2.0,165.0
202602,0902011U0,Potassium chloride,05,05,68.0,44867.39
202602,0902012H0,Oral rehydration salts,03,02,18.0,619.53
202602,0902012H0,Oral rehydration salts,03,03,13932.0,166343.13
202602,0902012H0,Oral rehydration salts,05,05,16.0,15184.76
202602,0902012L0,Sodium chloride,01,01,425.0,47716.42
202602,0902012L0,Sodium chloride,03,02,6866.0,151344.05
202602,0902012L0,Sodium chloride,03,03,2905.0,98603.81
202602,0902012L0,Sodium chloride,05,05,34.0,4506.51
202602,0902013P0,Potassium bicarbonate,05,05,1.0,745.0
202602,0902013S0,Sodium bicarbonate,01,01,50160.0,493218.69
202602,0902013S0,Sodium bicarbonate,03,01,39.0,620.97
202602,0902013S0,Sodium bicarbonate,03,02,888.0,16498.44
202602,0902013S0,Sodium bicarbonate,03,03,260.0,6321.92
202602,0902013S0,Sodium bicarbonate,05,01,246.0,8717.27
202602,0902013S0,Sodium bicarbonate,05,05,95.0,2084.44
202602,0902021G0,Glucose,03,01,1.0,671.44
202602,0902021G0,Glucose,05,01,1.0,186.0
202602,0902021Q0,Sodium bicarbonate,01,01,29.0,1476.53
202602,0902021Q0,Sodium bicarbonate,03,02,5.0,1004.16
