YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202105,21,Appliances,2617589.0,500398081.5,42720510.38
202105,22,Incontinence Appliances,190931.0,3647718.0,4827813.93
202105,23,Stoma Appliances,535219.0,49733431.5,28266595.67
202105,3,Respiratory System,5736107.0,119032647.0,83236137.85000001
202105,4,Central Nervous System,17755777.0,1241646236.8000002,133601946.65
202105,5,Infections,2728230.0,104691921.0,16821907.78
202105,6,Endocrine System,9331692.0,465258106.5,122183827.39
202105,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2488940.0,106809674.0,21161762.54
202105,8,Malignant Disease and Immunosuppression,365455.0,15220119.0,14278759.11
202105,9,Nutrition and Blood,4934259.0,2431298634.5,56382013.56
202106,1,Gastro-Intestinal System,8977670.0,707539628.0,52386430.760000005
202106,10,Musculoskeletal and Joint Diseases,2592923.0,170245132.0,14422869.420000002
202106,11,Eye,1479043.0,24036968.5,15104010.44
202106,12,"Ear, Nose and Oropharynx",1016237.0,22573241.8,7098980.18
202106,13,Skin,2254222.0,413085866.7000001,22027273.98
202106,14,Immunological Products and Vaccines,62795.0,63350.0,891797.3799999999
202106,15,Anaesthesia,130309.0,3760361.5,1826272.11
202106,18,Preparations used in Diagnosis,13.0,8000.0,1400.0
202106,19,Other Drugs and Preparations,80380.0,54364546.0,2177200.37
202106,2,Cardiovascular System,28304793.0,1002214678.0,141682807.66
202106,20,Dressings,522735.0,13622529.3,14380982.65
202106,21,Appliances,2828860.0,530320702.5,46540881.2
202106,22,Incontinence Appliances,204568.0,3879491.0,5170378.07
202106,23,Stoma Appliances,562425.0,52917765.7,28873366.28
202106,3,Respiratory System,6483332.0,143182988.0,91139210.28
202106,4,Central Nervous System,18888512.0,1324063916.1,141982513.48000002
202106,5,Infections,2993369.0,116373675.0,17978857.36
202106,6,Endocrine System,10023572.0,499248769.0,132184434.04
202106,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2661310.0,115077000.0,22817019.72
202106,8,Malignant Disease and Immunosuppression,389104.0,16149185.0,15038047.75
202106,9,Nutrition and Blood,5285929.0,2682910679.0,61048949.53
202107,1,Gastro-Intestinal System,8971465.0,704510678.0,51303514.31999999
202107,10,Musculoskeletal and Joint Diseases,2579801.0,169379085.0,13040282.11
202107,11,Eye,1411190.0,23400824.5,13916311.76
202107,12,"Ear, Nose and Oropharynx",940031.0,22289527.3,6372700.79
202107,13,Skin,2179810.0,395698034.17,21169321.16
202107,14,Immunological Products and Vaccines,67585.0,68010.0,928453.79
202107,15,Anaesthesia,129689.0,6167906.5,1831075.25
202107,18,Preparations used in Diagnosis,10.0,5700.0,997.5
202107,19,Other Drugs and Preparations,86283.0,56692954.0,2326148.8000000003
202107,2,Cardiovascular System,28288251.0,1000753072.0,136874884.60000002
202107,20,Dressings,515711.0,13611603.6,14290932.56
202107,21,Appliances,2773697.0,506888519.5,46531260.28
202107,22,Incontinence Appliances,200368.0,3806037.0,5079651.77
202107,23,Stoma Appliances,578741.0,54070231.7,30761854.0
202107,3,Respiratory System,6365435.0,135574909.0,90888247.14
