YEAR_MONTH,ORG_CODE,ORG_NAME,ITEMS,TOTAL_QUANTITY,NIC
202102,QMJ,NORTH LONDON PARTNERS IN H&C STP,1539215.0,135321686.8,13484490.27
202102,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,1812570.0,120887608.6,13591253.3
202102,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2011362.0,166265940.4,18373265.33
202102,QNQ,FRIMLEY HEALTH & CARE ICS STP,817267.0,64978847.6,7629654.77
202102,QNX,SUSSEX & EAST SURREY STP,2424348.0,172830288.0,24283575.2
202102,QOC,SHROPSHIRE & TELFORD & WREKIN STP,707521.0,53144581.4,6676111.13
202102,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,4856995.0,404219596.2,44418847.82
202102,QOQ,"HUMBER, COAST & VALE STP",2924509.0,207360125.5,22824740.06
202102,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1303115.0,91508963.8,10097537.37
202102,QPM,NORTHAMPTONSHIRE STP,1183425.0,70905431.7,8619134.3
202102,QR1,GLOUCESTERSHIRE STP,956395.0,52759164.0,8645305.3
202102,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2328162.0,189472482.9,22678644.8
202102,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3183493.0,236922886.31,25835800.47
202102,QSL,SOMERSET STP,810390.0,57498928.7,7048605.95
202102,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1565762.0,116723989.6,15307872.5
202102,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,993632.0,64460475.2,7601906.92
202102,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2051682.0,149229725.7,19632154.04
202102,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2137814.0,198097553.9,19604116.6
202102,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1508162.0,97167059.1,23528597.88
202102,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1225258.0,93354061.8,10545395.08
202102,QVV,DORSET STP,1188135.0,95237263.8,10726650.4
202102,QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP,1717569.0,117195862.3,13611633.77
202102,QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP,4836751.0,390189239.0,41180280.71
202102,QWU,COVENTRY & WARWICKSHIRE STP,1423628.0,105661087.3,11424009.42
202102,QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP,1025377.0,89758074.0,10636894.3
202102,QYG,CHESHIRE & MERSEYSIDE STP,4464406.0,412956200.4,38402871.24
202103,QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,3358518.0,242839378.3,27184309.7
202103,QF7,SOUTH YORKSHIRE & BASSETLAW STP,3228951.0,207859777.6,24012302.75
202103,QGH,HEREFORDSHIRE & WORCESTERSHIRE STP,1306681.0,519728118.9,18728908.0
202103,QH8,MID AND SOUTH ESSEX STP,1787849.0,116442808.5,16320656.41
202103,QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",1280298.0,101761442.1,11173778.27
202103,QHL,BIRMINGHAM & SOLIHULL STP,1700006.0,173615433.0,16665820.16
202103,QHM,CUMBRIA & NORTH EAST STP,6920416.0,444035277.6,48455872.24
202103,QJ2,JOINED UP CARE DERBYSHIRE STP,1642845.0,130946892.0,13619319.25
202103,QJG,SUFFOLK & NORTH EAST ESSEX STP,1926052.0,121148163.4,15133742.19
202103,QJK,DEVON STP,2119072.0,153731239.9,17423474.17
202103,QJM,LINCOLNSHIRE STP,1807667.0,112322499.3,12775418.96
202103,QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP",1843062.0,140655600.5,14885607.76
202103,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,2023225.0,168881721.7,18158497.82
202103,QKS,KENT & MEDWAY STP,2843405.0,475916363.6,29928178.28
202103,QM7,HERTFORDSHIRE & WEST ESSEX STP,2264287.0,153440219.5,18649723.62
202103,QMF,EAST LONDON HEALTH & CARE P/SHIP STP,2702868.0,228037424.6,21446440.55
202103,QMJ,NORTH LONDON PARTNERS IN H&C STP,1724028.0,151979195.3,15144850.51
202103,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,2037018.0,135729771.9,15265044.37
202103,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2261076.0,187381824.0,20679588.59
202103,QNQ,FRIMLEY HEALTH & CARE ICS STP,905119.0,72086909.0,8477028.76
202103,QNX,SUSSEX & EAST SURREY STP,2734266.0,194049009.4,27367922.17
202103,QOC,SHROPSHIRE & TELFORD & WREKIN STP,779865.0,58852332.0,7422693.56
202103,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,5535116.0,465426727.0,50715027.75
202103,QOQ,"HUMBER, COAST & VALE STP",3295751.0,232354956.1,25698562.15
202103,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1449256.0,102087226.4,11383859.48
202103,QPM,NORTHAMPTONSHIRE STP,1324946.0,79266960.0,9636331.41
202103,QR1,GLOUCESTERSHIRE STP,1077756.0,60582465.0,9936432.93
202103,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2600574.0,210371841.4,25391239.55
202103,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3621484.0,270381934.6,29540442.75
202103,QSL,SOMERSET STP,914121.0,64340032.7,7947351.35
202103,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1738481.0,129801231.81,17262840.96
202103,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,1113808.0,70965636.4,8533169.27
202103,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2266197.0,164089418.1,21484918.72
202103,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2357257.0,218944060.1,21642426.37
202103,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1635107.0,104697019.5,22638531.29
202103,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1389052.0,105524205.4,11903938.66
202103,QVV,DORSET STP,1314088.0,104900116.3,11988022.14
202103,QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP,1925662.0,130427641.3,15396266.34
202103,QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP,5561395.0,443469694.3,47075197.11
202103,QWU,COVENTRY & WARWICKSHIRE STP,1608454.0,117423877.4,12892110.99
202103,QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP,1146009.0,98345375.3,11841682.38
202103,QYG,CHESHIRE & MERSEYSIDE STP,4977557.0,460970409.2,42975134.04
202104,QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,3228843.0,240009095.1,26002730.46
202104,QF7,SOUTH YORKSHIRE & BASSETLAW STP,3081234.0,200549876.3,22838246.38
202104,QGH,HEREFORDSHIRE & WORCESTERSHIRE STP,1282079.0,488988475.5,18017778.46
202104,QH8,MID AND SOUTH ESSEX STP,1760577.0,115846590.24,15962035.01
202104,QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",1230666.0,98067873.4,10645983.71
202104,QHL,BIRMINGHAM & SOLIHULL STP,1671390.0,171211337.3,16259742.97
202104,QHM,CUMBRIA & NORTH EAST STP,6650086.0,430698021.9,46620248.5
202104,QJ2,JOINED UP CARE DERBYSHIRE STP,1588804.0,126669610.7,13109591.53
202104,QJG,SUFFOLK & NORTH EAST ESSEX STP,1866599.0,117002142.7,14550751.3
202104,QJK,DEVON STP,2066341.0,151256020.9,16897330.84
202104,QJM,LINCOLNSHIRE STP,1764940.0,111432159.1,12505344.03
202104,QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP",1795091.0,137098674.4,14338691.17
202104,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,1935886.0,163602201.8,17236313.36
202104,QKS,KENT & MEDWAY STP,2748323.0,434570308.8,28306862.38
202104,QM7,HERTFORDSHIRE & WEST ESSEX STP,2185983.0,149144740.8,17591253.14
202104,QMF,EAST LONDON HEALTH & CARE P/SHIP STP,2619148.0,223052126.2,20590325.01
202104,QMJ,NORTH LONDON PARTNERS IN H&C STP,1708409.0,148570541.2,14828038.76
202104,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,1985945.0,133403051.5,14819963.2
202104,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2162167.0,178069759.6,19438713.57
202104,QNQ,FRIMLEY HEALTH & CARE ICS STP,892531.0,71919226.7,8337339.88
202104,QNX,SUSSEX & EAST SURREY STP,2612185.0,186500902.9,25850083.69
202104,QOC,SHROPSHIRE & TELFORD & WREKIN STP,774409.0,58390813.8,7364071.13
202104,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,5343129.0,451788435.7,48472610.47
202104,QOQ,"HUMBER, COAST & VALE STP",3222504.0,227785417.6,25038248.46
202104,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1397301.0,98223792.3,10865864.99
202104,QPM,NORTHAMPTONSHIRE STP,1301435.0,78250780.5,9376296.57
202104,QR1,GLOUCESTERSHIRE STP,1043606.0,57383534.0,9356996.29
202104,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2506317.0,203748639.4,24364993.4
202104,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3461537.0,259086945.81,27988846.99
202104,QSL,SOMERSET STP,899037.0,62969664.9,7780122.68
202104,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1718583.0,128526563.5,16768679.86
202104,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,1095870.0,69851173.81,8359909.69
202104,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2191149.0,160830875.9,21272221.68
202104,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2296601.0,215677773.3,21057201.04
202104,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1682609.0,109155303.0,27295257.61
202104,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1342685.0,102410173.7,11476236.65
202104,QVV,DORSET STP,1284523.0,102155144.0,11584510.63
202104,QWE,SW LONDON HEALTH & CARE PARTNERSHIP STP,1846918.0,127177769.3,14733276.93
202104,QWO,W YORKSHIRE & HARROGATE H&C P/SHIP STP,5261636.0,425680227.5,44257960.68
202104,QWU,COVENTRY & WARWICKSHIRE STP,1565766.0,143632713.1,12501937.28
202104,QXU,SURREY HEARTLANDS H&C PARTNERSHIP STP,1100331.0,95229900.0,11317004.09
202104,QYG,CHESHIRE & MERSEYSIDE STP,4843802.0,444763651.45,41586136.52
202105,QE1,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP,3094579.0,226357074.3,24924357.46
202105,QF7,SOUTH YORKSHIRE & BASSETLAW STP,2941619.0,190547043.8,21914605.34
202105,QGH,HEREFORDSHIRE & WORCESTERSHIRE STP,1208806.0,457091777.6,16939417.880000003
202105,QH8,MID AND SOUTH ESSEX STP,1665979.0,109315391.5,15236991.77
202105,QHG,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP",1190904.0,94879975.5,10379379.5
202105,QHL,BIRMINGHAM & SOLIHULL STP,1580346.0,160413889.9,15382973.739999998
202105,QHM,CUMBRIA & NORTH EAST STP,6398576.0,404292431.6,44698107.23
202105,QJ2,JOINED UP CARE DERBYSHIRE STP,1512240.0,121359239.5,12626381.63
202105,QJG,SUFFOLK & NORTH EAST ESSEX STP,1814437.0,112915955.8,14174975.35
202105,QJK,DEVON STP,1987445.0,145759463.61,16329234.9
202105,QJM,LINCOLNSHIRE STP,1692282.0,106507211.8,11960389.67
202105,QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP",1694375.0,129565711.1,13653119.12
202105,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,1871655.0,157111593.7,16708853.31
202105,QKS,KENT & MEDWAY STP,2619017.0,417503967.2,27278796.54
202105,QM7,HERTFORDSHIRE & WEST ESSEX STP,2141460.0,146225525.9,17349944.41
